ticker,cap,country,industry,financial_currency,currency
MSFT,mega,United States,Software - Infrastructure,USD,USD
AAPL,mega,United States,Consumer Electronics,USD,USD
NVDA,mega,United States,Semiconductors,USD,USD
2222.SR,mega,Saudi Arabia,Oil & Gas Integrated,SAR,SAR
AMZN,mega,United States,Internet Retail,USD,USD
GOOG,mega,United States,Internet Content & Information,USD,USD
META,mega,United States,Internet Content & Information,USD,USD
BRK-B,mega,United States,Insurance - Diversified,USD,USD
TSM,mega,Taiwan,Semiconductors,TWD,USD
LLY,mega,United States,Drug Manufacturers - General,USD,USD
AVGO,mega,United States,Semiconductors,USD,USD
NVO,mega,Denmark,Biotechnology,DKK,USD
V,mega,United States,Credit Services,USD,USD
TSLA,mega,United States,Auto Manufacturers,USD,USD
JPM,mega,United States,Banks - Diversified,USD,USD
WMT,mega,United States,Discount Stores,USD,USD
MC.PA,mega,France,Luxury Goods,EUR,EUR
UNH,mega,United States,Healthcare Plans,USD,USD
MA,mega,United States,Credit Services,USD,USD
XOM,mega,United States,Oil & Gas Integrated,USD,USD
ASML,mega,Netherlands,Semiconductor Equipment & Materials,EUR,USD
JNJ,mega,United States,Drug Manufacturers - General,USD,USD
PG,mega,United States,Household & Personal Products,USD,USD
HD,mega,United States,Home Improvement Retail,USD,USD
005930.KS,mega,South Korea,Consumer Electronics,KRW,KRW
COST,mega,United States,Discount Stores,USD,USD
AMD,mega,United States,Semiconductors,USD,USD
TM,mega,Japan,Auto Manufacturers,JPY,USD
TCEHY,mega,China,Internet Content & Information,CNY,USD
ABBV,mega,United States,Drug Manufacturers - General,USD,USD
MRK,mega,United States,Drug Manufacturers - General,USD,USD
ORCL,mega,United States,Software - Infrastructure,USD,USD
600519.SS,mega,China,Beverages - Wineries & Distilleries,CNY,CNY
CRM,mega,United States,Software - Application,USD,USD
BAC,mega,United States,Banks - Diversified,USD,USD
CVX,mega,United States,Oil & Gas Integrated,USD,USD
NESN.SW,mega,Switzerland,Packaged Foods,CHF,CHF
RMS.PA,mega,France,Luxury Goods,EUR,EUR
NFLX,mega,United States,Entertainment,USD,USD
OR.PA,mega,France,Household & Personal Products,EUR,EUR
KO,mega,United States,Beverages - Non-Alcoholic,USD,USD
ADBE,mega,United States,Software - Infrastructure,USD,USD
1398.HK,mega,China,Banks - Diversified,CNY,HKD
ACN,mega,Ireland,Information Technology Services,USD,USD
RELIANCE.NS,mega,India,Oil & Gas Refining & Marketing,INR,INR
TMO,mega,United States,Diagnostics & Research,USD,USD
SAP,mega,Germany,Software - Application,EUR,USD
LIN,mega,United Kingdom,Specialty Chemicals,USD,USD
PEP,mega,United States,Beverages - Non-Alcoholic,USD,USD
601857.SS,mega,China,Oil & Gas Integrated,CNY,CNY
ROG.SW,mega,Switzerland,Drug Manufacturers - General,CHF,CHF
MCD,mega,United States,Restaurants,USD,USD
ABT,mega,United States,Medical Devices,USD,USD
