,Currency_From,Currency_To,Exchange_Rate,date
0,EUR,AUD,1.656287909,17/04/2024
1,AUD,EUR,0.603759766,17/04/2024
2,EUR,BGN,1.950124311,17/04/2024
3,BGN,EUR,0.512787823,17/04/2024
4,EUR,BRL,5.578282351,17/04/2024
5,BRL,EUR,0.179266652,17/04/2024
6,EUR,CAD,1.467557031,17/04/2024
7,CAD,EUR,0.681404524,17/04/2024
8,EUR,CHF,0.969171683,17/04/2024
9,CHF,EUR,1.031808933,17/04/2024
10,EUR,CNY,7.690314485,17/04/2024
11,CNY,EUR,0.130033694,17/04/2024
12,EUR,CZK,25.16382084,17/04/2024
13,CZK,EUR,0.039739593,17/04/2024
14,EUR,DKK,7.461088048,17/04/2024
15,DKK,EUR,0.134028709,17/04/2024
16,EUR,EUR,1.0,17/04/2024
17,EUR,GBP,0.854494691,17/04/2024
18,GBP,EUR,1.170282286,17/04/2024
19,EUR,HKD,8.315539844,17/04/2024
20,HKD,EUR,0.120256775,17/04/2024
21,EUR,HRK,7.233709651,17/04/2024
22,HRK,EUR,0.138241656,17/04/2024
23,EUR,HUF,395.047113,17/04/2024
24,HUF,EUR,0.002531344,17/04/2024
25,EUR,IDR,17168.06531,17/04/2024
26,IDR,EUR,5.82e-05,17/04/2024
27,EUR,ILS,3.990821963,17/04/2024
28,ILS,EUR,0.250574947,17/04/2024
29,EUR,INR,88.81354511,17/04/2024
30,INR,EUR,0.011259544,17/04/2024
31,EUR,ISK,150.86604,17/04/2024
32,ISK,EUR,0.006628397,17/04/2024
33,EUR,JPY,164.3132108,17/04/2024
34,JPY,EUR,0.006085938,17/04/2024
35,EUR,KRW,1474.506315,17/04/2024
36,KRW,EUR,0.000678193,17/04/2024
37,EUR,MXN,18.08946826,17/04/2024
38,MXN,EUR,0.055280785,17/04/2024
39,EUR,MYR,5.092219837,17/04/2024
40,MYR,EUR,0.19637801,17/04/2024
41,EUR,NOK,11.65931596,17/04/2024
42,NOK,EUR,0.085768325,17/04/2024
43,EUR,NZD,1.802632538,17/04/2024
44,NZD,EUR,0.55474423,17/04/2024
45,EUR,PHP,60.55764575,17/04/2024
46,PHP,EUR,0.016513191,17/04/2024
47,EUR,PLN,4.366435195,17/04/2024
48,PLN,EUR,0.229019774,17/04/2024
49,EUR,RON,4.975004104,17/04/2024
50,RON,EUR,0.201004859,17/04/2024
51,EUR,RUB,99.97579614,17/04/2024
52,RUB,EUR,0.010002421,17/04/2024
53,EUR,SEK,11.62829613,17/04/2024
54,SEK,EUR,0.085997122,17/04/2024
55,EUR,SGD,1.449285109,17/04/2024
56,SGD,EUR,0.689995359,17/04/2024
57,EUR,THB,38.9606555,17/04/2024
58,THB,EUR,0.025666919,17/04/2024
59,EUR,TRY,34.52369058,17/04/2024
60,TRY,EUR,0.028965617,17/04/2024
61,EUR,USD,1.062315315,17/04/2024
62,USD,EUR,0.941340096,17/04/2024
63,EUR,ZAR,20.21570466,17/04/2024
64,ZAR,EUR,0.049466492,17/04/2024
65,USD,AUD,1.559130218,17/04/2024
66,AUD,USD,0.641383246,17/04/2024
67,USD,ZAR,19.02985336,17/04/2024
68,ZAR,USD,0.052549012,17/04/2024
69,USD,BGN,1.835730205,17/04/2024
70,USD,BRL,5.251060841,17/04/2024
71,USD,CAD,1.381470276,17/04/2024
72,USD,CHF,0.912320164,17/04/2024
73,USD,CNY,7.239201371,17/04/2024
74,USD,CZK,23.68771351,17/04/2024
75,USD,DKK,7.023421336,17/04/2024
76,USD,GBP,0.804370114,17/04/2024
77,USD,HKD,7.827751071,17/04/2024
78,USD,HRK,6.809380934,17/04/2024
79,USD,HUF,371.8736871,17/04/2024
80,USD,IDR,16160.98824,17/04/2024
81,USD,ILS,3.756720728,17/04/2024
82,USD,INR,83.60375104,17/04/2024
83,USD,ISK,142.0162525,17/04/2024
84,USD,JPY,154.6746136,17/04/2024
85,USD,KRW,1388.011915,17/04/2024
86,USD,MXN,17.02834178,17/04/2024
87,USD,MYR,4.793510708,17/04/2024
88,USD,NOK,10.9753816,17/04/2024
89,USD,NZD,1.696890286,17/04/2024
90,USD,PHP,57.00534003,17/04/2024
91,USD,PLN,4.110300523,17/04/2024
92,USD,RON,4.683170838,17/04/2024
93,USD,RUB,94.11122549,17/04/2024
94,USD,SEK,10.94618139,17/04/2024
95,USD,SGD,1.364270183,17/04/2024
96,USD,THB,36.67522717,17/04/2024
97,USD,TRY,32.49853418,17/04/2024
98,USD,USD,1.0,17/04/2024
99,USD,TWD,32.25,17/04/2024
100,TWD,USD,0.031,17/04/2024
101,CNY,AUD,0.2150264989,2024-04-19
102,CNY,BGN,0.2527785892,2024-04-19
103,CNY,BRL,0.7258617674,2024-04-19
104,CNY,CAD,0.1902056977,2024-04-19
105,CNY,CHF,0.1260300552,2024-04-19
106,CNY,CNY,1.0,2024-04-19
107,CNY,CZK,3.2780331328,2024-04-19
108,CNY,DKK,0.9683660657,2024-04-19
109,CNY,GBP,0.111091151,2024-04-19
110,CNY,HKD,1.081692809,2024-04-19
111,CNY,HRK,0.9404406343,2024-04-19
112,CNY,HUF,51.1513746173,2024-04-19
113,CNY,IDR,2232.7548056843,2024-04-19
114,CNY,ILS,0.5239986792,2024-04-19
115,CNY,INR,11.539372349,2024-04-19
116,CNY,ISK,19.5102755325,2024-04-19
117,CNY,JPY,21.3609440676,2024-04-19
118,CNY,KRW,190.1069906728,2024-04-19
119,CNY,MXN,2.3582102824,2024-04-19
120,CNY,MYR,0.6609648965,2024-04-19
121,CNY,NOK,1.5268477269,2024-04-19
122,CNY,NZD,0.2340317321,2024-04-19
123,CNY,PHP,7.9162784975,2024-04-19
124,CNY,PLN,0.5628105107,2024-04-19
125,CNY,RON,0.645699861,2024-04-19
126,CNY,RUB,12.9791148634,2024-04-19
127,CNY,SEK,1.5157499879,2024-04-19
128,CNY,SGD,0.1881538915,2024-04-19
129,CNY,THB,5.0850984629,2024-04-19
130,CNY,TRY,4.4961936347,2024-04-19
131,CNY,USD,0.1381696181,2024-04-19
132,CNY,ZAR,2.6461474546,2024-04-19
133,CAD,AUD,1.1331069264,2024-04-20
134,CAD,BGN,1.3399932327,2024-04-20
135,CAD,BRL,3.7882043622,2024-04-20
136,CAD,CAD,1.0,2024-04-20
137,CAD,CHF,0.6619124556,2024-04-20
138,CAD,CNY,5.2671378291,2024-04-20
139,CAD,CZK,17.2237173098,2024-04-20
140,CAD,DKK,5.0938971707,2024-04-20
141,CAD,GBP,0.5879803357,2024-04-20
142,CAD,HKD,5.6967729267,2024-04-20
143,CAD,HRK,4.9775476532,2024-04-20
144,CAD,HUF,268.7689178526,2024-04-20
145,CAD,IDR,11809.5928873768,2024-04-20
146,CAD,ILS,2.7374447816,2024-04-20
147,CAD,INR,60.6196378342,2024-04-20
148,CAD,ISK,102.7584459011,2024-04-20
149,CAD,JPY,112.4754146993,2024-04-20
150,CAD,KRW,998.9380189475,2024-04-20
151,CAD,MXN,12.434378609,2024-04-20
152,CAD,MYR,3.4797697439,2024-04-20
153,CAD,NOK,8.0147651857,2024-04-20
154,CAD,NZD,1.234662702,2024-04-20
155,CAD,PHP,41.8156535877,2024-04-20
156,CAD,PLN,2.9401998173,2024-04-20
157,CAD,RON,3.3961204917,2024-04-20
158,CAD,RUB,67.8235761879,2024-04-20
159,CAD,SEK,7.943734592,2024-04-20
160,CAD,SGD,0.9898611543,2024-04-20
161,CAD,THB,26.7817537477,2024-04-20
162,CAD,TRY,23.6445230415,2024-04-20
163,CAD,USD,0.7273202568,2024-04-20
164,CAD,ZAR,13.8789312495,2024-04-20
165,GBP,AUD,1.9271170437,2024-04-20
166,GBP,BGN,2.2789762706,2024-04-20
167,GBP,BRL,6.4427398876,2024-04-20
168,GBP,CAD,1.7007371492,2024-04-20
169,GBP,CHF,1.1257391028,2024-04-20
170,GBP,CNY,8.9580169761,2024-04-20
171,GBP,CZK,29.2930158764,2024-04-20
172,GBP,DKK,8.6633801525,2024-04-20
173,GBP,GBP,1.0,2024-04-20
174,GBP,HKD,9.6887133472,2024-04-20
175,GBP,HRK,8.4655002058,2024-04-20
176,GBP,HUF,457.1052831484,2024-04-20
177,GBP,IDR,20085.0133407632,2024-04-20
178,GBP,ILS,4.655674034,2024-04-20
179,GBP,INR,103.0980700371,2024-04-20
180,GBP,ISK,174.7651063404,2024-04-20
181,GBP,JPY,191.2911161535,2024-04-20
182,GBP,KRW,1698.9309985954,2024-04-20
183,GBP,MXN,21.1476096279,2024-04-20
184,GBP,MYR,5.9181736743,2024-04-20
185,GBP,NOK,13.6310088936,2024-04-20
186,GBP,NZD,2.099836724,2024-04-20
187,GBP,PHP,71.1174354756,2024-04-20
188,GBP,PLN,5.0005070554,2024-04-20
189,GBP,RON,5.7759082835,2024-04-20
190,GBP,RUB,115.350075616,2024-04-20
191,GBP,SEK,13.5102045242,2024-04-20
192,GBP,SGD,1.6834936377,2024-04-20
193,GBP,THB,45.54872352,2024-04-20
194,GBP,TRY,40.2131187123,2024-04-20
195,GBP,USD,1.2369805801,2024-04-20
196,GBP,ZAR,23.6044139676,2024-04-20
197,INR,AUD,0.0186920768,2024-04-20
198,INR,BGN,0.0221049363,2024-04-20
199,INR,BRL,0.0624913724,2024-04-20
200,INR,CAD,0.0164963044,2024-04-20
201,INR,CHF,0.0109191094,2024-04-20
202,INR,CNY,0.0868883091,2024-04-20
203,INR,CZK,0.2841276841,2024-04-20
204,INR,DKK,0.0840304785,2024-04-20
205,INR,GBP,0.0096995026,2024-04-20
206,INR,HKD,0.0939757005,2024-04-20
207,INR,HRK,0.0821111414,2024-04-20
208,INR,HUF,4.4336938896,2024-04-20
209,INR,IDR,194.8146394355,2024-04-20
210,INR,ILS,0.0451577225,2024-04-20
211,INR,INR,1.0,2024-04-20
212,INR,ISK,1.6951346061,2024-04-20
213,INR,JPY,1.8554286815,2024-04-20
214,INR,KRW,16.4787856648,2024-04-20
215,INR,MXN,0.2051212949,2024-04-20
216,INR,MYR,0.057403341,2024-04-20
217,INR,NOK,0.1322140064,2024-04-20
218,INR,NZD,0.0203673718,2024-04-20
219,INR,PHP,0.6898037514,2024-04-20
220,INR,PLN,0.0485024313,2024-04-20
221,INR,RON,0.0560234375,2024-04-20
222,INR,RUB,1.1188383602,2024-04-20
223,INR,SEK,0.1310422641,2024-04-20
224,INR,SGD,0.0163290509,2024-04-20
225,INR,THB,0.4417999629,2024-04-20
226,INR,TRY,0.3900472501,2024-04-20
227,INR,USD,0.0119980964,2024-04-20
228,INR,ZAR,0.228951075,2024-04-20
229,SEK,AUD,0.1426415892,2024-04-20
230,SEK,BGN,0.1686855492,2024-04-20
231,SEK,BRL,0.4768795229,2024-04-20
232,SEK,CAD,0.125885374,2024-04-20
233,SEK,CHF,0.083325097,2024-04-20
234,SEK,CNY,0.6630556155,2024-04-20
235,SEK,CZK,2.1682140951,2024-04-20
236,SEK,DKK,0.6412471504,2024-04-20
237,SEK,GBP,0.0740181245,2024-04-20
238,SEK,HKD,0.7171403904,2024-04-20
239,SEK,HRK,0.6266004479,2024-04-20
240,SEK,HUF,33.8340757411,2024-04-20
241,SEK,IDR,1486.6550173109,2024-04-20
242,SEK,ILS,0.3446042601,2024-04-20
243,SEK,INR,7.63112578,2024-04-20
244,SEK,ISK,12.935785393,2024-04-20
245,SEK,JPY,14.1590096442,2024-04-20
246,SEK,KRW,125.7516861092,2024-04-20
247,SEK,MXN,1.5653064015,2024-04-20
248,SEK,MYR,0.4380521156,2024-04-20
249,SEK,NOK,1.0089417129,2024-04-20
250,SEK,NZD,0.155425976,2024-04-20
251,SEK,PHP,5.2639791906,2024-04-20
252,SEK,PLN,0.3701281536,2024-04-20
253,SEK,RON,0.4275218982,2024-04-20
254,SEK,RUB,8.5379962538,2024-04-20
255,SEK,SEK,1.0,2024-04-20
256,SEK,SGD,0.1246090416,2024-04-20
257,SEK,THB,3.3714310867,2024-04-20
258,SEK,TRY,2.9764996259,2024-04-20
259,SEK,USD,0.0915589825,2024-04-20
260,SEK,ZAR,1.7471544509,2024-04-20
