Currency_From,Currency_To,Exchange_Rate,date
EUR,AUD,1.656287909,17/04/2024
AUD,EUR,0.603759766,17/04/2024
EUR,BGN,1.950124311,17/04/2024
BGN,EUR,0.512787823,17/04/2024
EUR,BRL,5.578282351,17/04/2024
BRL,EUR,0.179266652,17/04/2024
EUR,CAD,1.467557031,17/04/2024
CAD,EUR,0.681404524,17/04/2024
EUR,CHF,0.969171683,17/04/2024
CHF,EUR,1.031808933,17/04/2024
EUR,CNY,7.690314485,17/04/2024
CNY,EUR,0.130033694,17/04/2024
EUR,CZK,25.16382084,17/04/2024
CZK,EUR,0.039739593,17/04/2024
EUR,DKK,7.461088048,17/04/2024
DKK,EUR,0.134028709,17/04/2024
EUR,EUR,1.0,17/04/2024
EUR,GBP,0.854494691,17/04/2024
GBP,EUR,1.170282286,17/04/2024
EUR,HKD,8.315539844,17/04/2024
HKD,EUR,0.120256775,17/04/2024
EUR,HRK,7.233709651,17/04/2024
HRK,EUR,0.138241656,17/04/2024
EUR,HUF,395.047113,17/04/2024
HUF,EUR,0.002531344,17/04/2024
EUR,IDR,17168.06531,17/04/2024
IDR,EUR,5.82e-05,17/04/2024
EUR,ILS,3.990821963,17/04/2024
ILS,EUR,0.250574947,17/04/2024
EUR,INR,88.81354511,17/04/2024
INR,EUR,0.011259544,17/04/2024
EUR,ISK,150.86604,17/04/2024
ISK,EUR,0.006628397,17/04/2024
EUR,JPY,164.3132108,17/04/2024
JPY,EUR,0.006085938,17/04/2024
EUR,KRW,1474.506315,17/04/2024
KRW,EUR,0.000678193,17/04/2024
EUR,MXN,18.08946826,17/04/2024
MXN,EUR,0.055280785,17/04/2024
EUR,MYR,5.092219837,17/04/2024
MYR,EUR,0.19637801,17/04/2024
EUR,NOK,11.65931596,17/04/2024
NOK,EUR,0.085768325,17/04/2024
EUR,NZD,1.802632538,17/04/2024
NZD,EUR,0.55474423,17/04/2024
EUR,PHP,60.55764575,17/04/2024
PHP,EUR,0.016513191,17/04/2024
EUR,PLN,4.366435195,17/04/2024
PLN,EUR,0.229019774,17/04/2024
EUR,RON,4.975004104,17/04/2024
RON,EUR,0.201004859,17/04/2024
EUR,RUB,99.97579614,17/04/2024
RUB,EUR,0.010002421,17/04/2024
EUR,SEK,11.62829613,17/04/2024
SEK,EUR,0.085997122,17/04/2024
EUR,SGD,1.449285109,17/04/2024
SGD,EUR,0.689995359,17/04/2024
EUR,THB,38.9606555,17/04/2024
THB,EUR,0.025666919,17/04/2024
EUR,TRY,34.52369058,17/04/2024
TRY,EUR,0.028965617,17/04/2024
EUR,USD,1.062315315,17/04/2024
USD,EUR,0.941340096,17/04/2024
EUR,ZAR,20.21570466,17/04/2024
ZAR,EUR,0.049466492,17/04/2024
USD,AUD,1.559130218,17/04/2024
AUD,USD,0.641383246,17/04/2024
USD,ZAR,19.02985336,17/04/2024
ZAR,USD,0.052549012,17/04/2024
USD,BGN,1.835730205,17/04/2024
USD,BRL,5.251060841,17/04/2024
USD,CAD,1.381470276,17/04/2024
USD,CHF,0.912320164,17/04/2024
USD,CNY,7.239201371,17/04/2024
USD,CZK,23.68771351,17/04/2024
USD,DKK,7.023421336,17/04/2024
USD,GBP,0.804370114,17/04/2024
USD,HKD,7.827751071,17/04/2024
USD,HRK,6.809380934,17/04/2024
USD,HUF,371.8736871,17/04/2024
USD,IDR,16160.98824,17/04/2024
USD,ILS,3.756720728,17/04/2024
USD,INR,83.60375104,17/04/2024
USD,ISK,142.0162525,17/04/2024
USD,JPY,154.6746136,17/04/2024
USD,KRW,1388.011915,17/04/2024
USD,MXN,17.02834178,17/04/2024
USD,MYR,4.793510708,17/04/2024
USD,NOK,10.9753816,17/04/2024
USD,NZD,1.696890286,17/04/2024
USD,PHP,57.00534003,17/04/2024
USD,PLN,4.110300523,17/04/2024
USD,RON,4.683170838,17/04/2024
USD,RUB,94.11122549,17/04/2024
USD,SEK,10.94618139,17/04/2024
USD,SGD,1.364270183,17/04/2024
USD,THB,36.67522717,17/04/2024
USD,TRY,32.49853418,17/04/2024
USD,USD,1.0,17/04/2024
USD,TWD,32.25,17/04/2024
TWD,USD,0.031,17/04/2024
JPY,AUD,0.010066339,19/04/2024
JPY,BGN,0.011833681,19/04/2024
JPY,BRL,0.033980791,19/04/2024
JPY,CAD,0.008904368,19/04/2024
JPY,CHF,0.005900023,19/04/2024
JPY,CNY,0.04681441,19/04/2024
JPY,CZK,0.153459188,19/04/2024
JPY,DKK,0.045333486,19/04/2024
JPY,GBP,0.005200667,19/04/2024
JPY,HKD,0.050638811,19/04/2024
JPY,HRK,0.044026174,19/04/2024
JPY,HUF,2.394621439,19/04/2024
JPY,IDR,104.5250996,19/04/2024
JPY,ILS,0.024530689,19/04/2024
JPY,INR,0.540208912,19/04/2024
JPY,ISK,0.913362044,19/04/2024
JPY,JPY,1.0,19/04/2024
JPY,KRW,8.899746663,19/04/2024
JPY,MXN,0.110398224,19/04/2024
JPY,MYR,0.030942682,19/04/2024
JPY,NOK,0.071478476,19/04/2024
JPY,NZD,0.010956058,19/04/2024
JPY,PHP,0.37059591,19/04/2024
JPY,PLN,0.026347642,19/04/2024
JPY,RON,0.030228058,19/04/2024
JPY,RUB,0.607609609,19/04/2024
JPY,SEK,0.070958942,19/04/2024
JPY,SGD,0.008808314,19/04/2024
JPY,THB,0.238055886,19/04/2024
JPY,TRY,0.210486654,19/04/2024
JPY,USD,0.006468329,19/04/2024
JPY,ZAR,0.123877833,19/04/2024
CNY,AUD,0.215026499,19/04/2024
CNY,BGN,0.252778589,19/04/2024
CNY,BRL,0.725861767,19/04/2024
CNY,CAD,0.190205698,19/04/2024
CNY,CHF,0.126030055,19/04/2024
CNY,CNY,1.0,19/04/2024
CNY,CZK,3.278033133,19/04/2024
CNY,DKK,0.968366066,19/04/2024
CNY,GBP,0.111091151,19/04/2024
CNY,HKD,1.081692809,19/04/2024
CNY,HRK,0.940440634,19/04/2024
CNY,HUF,51.15137462,19/04/2024
CNY,IDR,2232.754806,19/04/2024
CNY,ILS,0.523998679,19/04/2024
CNY,INR,11.53937235,19/04/2024
CNY,ISK,19.51027553,19/04/2024
CNY,JPY,21.36094407,19/04/2024
CNY,KRW,190.1069907,19/04/2024
CNY,MXN,2.358210282,19/04/2024
CNY,MYR,0.660964897,19/04/2024
CNY,NOK,1.526847727,19/04/2024
CNY,NZD,0.234031732,19/04/2024
CNY,PHP,7.916278498,19/04/2024
CNY,PLN,0.562810511,19/04/2024
CNY,RON,0.645699861,19/04/2024
CNY,RUB,12.97911486,19/04/2024
CNY,SEK,1.515749988,19/04/2024
CNY,SGD,0.188153892,19/04/2024
CNY,THB,5.085098463,19/04/2024
CNY,TRY,4.496193635,19/04/2024
CNY,USD,0.138169618,19/04/2024
CNY,ZAR,2.646147455,19/04/2024
CAD,AUD,1.13049452,19/04/2024
CAD,BGN,1.328974853,19/04/2024
CAD,BRL,3.816193606,19/04/2024
CAD,CAD,1.0,19/04/2024
CAD,CHF,0.662598737,19/04/2024
CAD,CNY,5.257466059,19/04/2024
CAD,CZK,17.23414794,19/04/2024
CAD,DKK,5.091151723,19/04/2024
CAD,GBP,0.584057956,19/04/2024
CAD,HKD,5.68696323,19/04/2024
CAD,HRK,4.944334715,19/04/2024
CAD,HUF,268.9266159,19/04/2024
CAD,IDR,11738.63261,19/04/2024
CAD,ILS,2.754905271,19/04/2024
CAD,INR,60.66785847,19/04/2024
CAD,ISK,102.5746114,19/04/2024
CAD,JPY,112.3044384,19/04/2024
CAD,KRW,999.481051,19/04/2024
CAD,MXN,12.39821052,19/04/2024
CAD,MYR,3.47500051,19/04/2024
CAD,NOK,8.027350101,19/04/2024
CAD,NZD,1.230413888,19/04/2024
CAD,PHP,41.61956551,19/04/2024
CAD,PLN,2.958957158,19/04/2024
CAD,RON,3.394745104,19/04/2024
CAD,RUB,68.23725587,19/04/2024
CAD,SEK,7.969004115,19/04/2024
CAD,SGD,0.989212698,19/04/2024
CAD,THB,26.73473258,19/04/2024
CAD,TRY,23.63858543,19/04/2024
CAD,USD,0.726422078,19/04/2024
CAD,ZAR,13.91203043,19/04/2024
INR,AUD,0.018634159,19/04/2024
INR,BGN,0.021905749,19/04/2024
INR,BRL,0.062903055,19/04/2024
INR,CAD,0.016483193,19/04/2024
INR,CHF,0.010921743,19/04/2024
INR,CNY,0.086659826,19/04/2024
INR,CZK,0.284073781,19/04/2024
INR,DKK,0.083918435,19/04/2024
INR,GBP,0.00962714,19/04/2024
INR,HKD,0.093739311,19/04/2024
INR,HRK,0.081498422,19/04/2024
INR,HUF,4.432769224,19/04/2024
INR,IDR,193.490143,19/04/2024
INR,ILS,0.045409634,19/04/2024
INR,INR,1.0,19/04/2024
INR,ISK,1.690757083,19/04/2024
INR,JPY,1.851135696,19/04/2024
INR,KRW,16.47463873,19/04/2024
INR,MXN,0.204362093,19/04/2024
INR,MYR,0.057279103,19/04/2024
INR,NOK,0.132316358,19/04/2024
INR,NZD,0.020281149,19/04/2024
INR,PHP,0.686023317,19/04/2024
INR,PLN,0.048773061,19/04/2024
INR,RON,0.055956238,19/04/2024
INR,RUB,1.124767836,19/04/2024
INR,SEK,0.13135463,19/04/2024
INR,SGD,0.016305384,19/04/2024
INR,THB,0.440673748,19/04/2024
INR,TRY,0.389639358,19/04/2024
INR,USD,0.011973755,19/04/2024
INR,ZAR,0.229314678,19/04/2024
GBP,AUD,1.9355862,19/04/2024
GBP,BGN,2.27541606,19/04/2024
GBP,BRL,6.533929666,19/04/2024
GBP,CAD,1.712158853,19/04/2024
GBP,CHF,1.134474294,19/04/2024
GBP,CNY,9.001617057,19/04/2024
GBP,CZK,29.50759896,19/04/2024
GBP,DKK,8.716860494,19/04/2024
GBP,GBP,1.0,19/04/2024
GBP,HKD,9.73698444,19/04/2024
GBP,HRK,8.465486454,19/04/2024
GBP,HUF,460.4450862,19/04/2024
GBP,IDR,20098.40374,19/04/2024
GBP,ILS,4.716835448,19/04/2024
GBP,INR,103.873011,19/04/2024
GBP,ISK,175.624029,19/04/2024
GBP,JPY,192.2830385,19/04/2024
GBP,KRW,1711.27033,19/04/2024
GBP,MXN,21.2277059,19/04/2024
GBP,MYR,5.949752886,19/04/2024
GBP,NOK,13.74409854,19/04/2024
GBP,NZD,2.106664032,19/04/2024
GBP,PHP,71.25930755,19/04/2024
GBP,PLN,5.066204693,19/04/2024
GBP,RON,5.812342882,19/04/2024
GBP,RUB,116.8330217,19/04/2024
GBP,SEK,13.64420095,19/04/2024
GBP,SGD,1.693689279,19/04/2024
GBP,THB,45.77410906,19/04/2024
GBP,TRY,40.47301331,19/04/2024
GBP,USD,1.243749991,19/04/2024
GBP,ZAR,23.81960606,19/04/2024
KRW,AUD,0.00111337,27/04/2024
KRW,BGN,0.001323575,27/04/2024
KRW,BRL,0.003721327,27/04/2024
KRW,CAD,0.000994001,27/04/2024
KRW,CHF,0.000664544,27/04/2024
KRW,CNY,0.005268839,27/04/2024
KRW,CZK,0.017090302,27/04/2024
KRW,DKK,0.005072502,27/04/2024
KRW,GBP,0.0005821,27/04/2024
KRW,HKD,0.005692253,27/04/2024
KRW,HRK,0.004927781,27/04/2024
KRW,HUF,0.266569845,27/04/2024
KRW,IDR,11.77226905,27/04/2024
KRW,ILS,0.00277129,27/04/2024
KRW,INR,0.060623078,27/04/2024
KRW,ISK,0.101869125,27/04/2024
KRW,JPY,0.115155043,27/04/2024
KRW,KRW,1.0,27/04/2024
KRW,MXN,0.012468058,27/04/2024
KRW,MYR,0.003466197,27/04/2024
KRW,NOK,0.008024288,27/04/2024
KRW,NZD,0.001224258,27/04/2024
KRW,PHP,0.041959819,27/04/2024
KRW,PLN,0.002934935,27/04/2024
KRW,RON,0.003383469,27/04/2024
KRW,RUB,0.067004669,27/04/2024
KRW,SEK,0.007958273,27/04/2024
KRW,SGD,0.000990329,27/04/2024
KRW,THB,0.026909908,27/04/2024
KRW,TRY,0.023640759,27/04/2024
KRW,USD,0.000727279,27/04/2024
KRW,ZAR,0.013645246,27/04/2024
IDR,AUD,9.46e-05,27/04/2024
IDR,BGN,0.000112432,27/04/2024
IDR,BRL,0.00031611,27/04/2024
IDR,CAD,8.44e-05,27/04/2024
IDR,CHF,5.64e-05,27/04/2024
IDR,CNY,0.000447564,27/04/2024
IDR,CZK,0.001451742,27/04/2024
IDR,DKK,0.000430886,27/04/2024
IDR,GBP,4.94e-05,27/04/2024
IDR,HKD,0.000483531,27/04/2024
IDR,HRK,0.000418592,27/04/2024
IDR,HUF,0.02264388,27/04/2024
IDR,IDR,1.0,27/04/2024
IDR,ILS,0.000235408,27/04/2024
IDR,INR,0.005149651,27/04/2024
IDR,ISK,0.008653313,27/04/2024
IDR,JPY,0.00978189,27/04/2024
IDR,KRW,0.084945391,27/04/2024
IDR,MXN,0.001059104,27/04/2024
IDR,MYR,0.000294438,27/04/2024
IDR,NOK,0.000681626,27/04/2024
IDR,NZD,0.000103995,27/04/2024
IDR,PHP,0.003564293,27/04/2024
IDR,PLN,0.000249309,27/04/2024
IDR,RON,0.00028741,27/04/2024
IDR,RUB,0.005691738,27/04/2024
IDR,SEK,0.000676019,27/04/2024
IDR,SGD,8.41e-05,27/04/2024
IDR,THB,0.002285873,27/04/2024
IDR,TRY,0.002008174,27/04/2024
IDR,USD,6.18e-05,27/04/2024
IDR,ZAR,0.001159101,27/04/2024
DKK,AUD,0.219491218,27/04/2024
DKK,BGN,0.260931415,27/04/2024
DKK,BRL,0.733627438,27/04/2024
DKK,CAD,0.195958784,27/04/2024
DKK,CHF,0.131009098,27/04/2024
DKK,CNY,1.038706035,27/04/2024
DKK,CZK,3.369205287,27/04/2024
DKK,DKK,1.0,27/04/2024
DKK,GBP,0.114755912,27/04/2024
DKK,HKD,1.122178577,27/04/2024
DKK,HRK,0.971469463,27/04/2024
DKK,HUF,52.55194179,27/04/2024
DKK,IDR,2320.801129,27/04/2024
DKK,ILS,0.546335807,27/04/2024
DKK,INR,11.95131594,27/04/2024
DKK,ISK,20.08261781,27/04/2024
DKK,JPY,22.70182171,27/04/2024
